;;;;;;
No;"Kode Provinsi
Kemendagri";Provinsi;Tahun;Hewan;Jenis Pemotongan;Ekor
367;73;Sulawesi Selatan;2020;Kerbau;Pemotongan Tercatat;7560
368;74;Sulawesi Tenggara;2020;Kerbau;Pemotongan Tercatat;93
369;75;Gorontalo;2020;Kerbau;Pemotongan Tercatat;0
370;76;Sulawesi Barat;2020;Kerbau;Pemotongan Tercatat;832
371;81;Maluku;2020;Kerbau;Pemotongan Tercatat;368
372;82;Maluku Utara;2020;Kerbau;Pemotongan Tercatat;0
373;92;Papua Barat;2020;Kerbau;Pemotongan Tercatat;0
374;91;Papua;2020;Kerbau;Pemotongan Tercatat;57
375;11;Aceh;2021;Kerbau;Pemotongan Tercatat;13161
376;12;Sumatera Utara;2021;Kerbau;Pemotongan Tercatat;8824
377;13;Sumatera Barat;2021;Kerbau;Pemotongan Tercatat;9134
378;14;Riau;2021;Kerbau;Pemotongan Tercatat;11307
379;15;Jambi;2021;Kerbau;Pemotongan Tercatat;8173
380;16;Sumatera Selatan;2021;Kerbau;Pemotongan Tercatat;2809
381;17;Bengkulu;2021;Kerbau;Pemotongan Tercatat;1263
382;18;Lampung;2021;Kerbau;Pemotongan Tercatat;685
383;19;Kepulauan Bangka Belitung;2021;Kerbau;Pemotongan Tercatat;14
384;21;Kepulauan Riau;2021;Kerbau;Pemotongan Tercatat;0
385;31;DKI Jakarta;2021;Kerbau;Pemotongan Tercatat;100
386;32;Jawa Barat;2021;Kerbau;Pemotongan Tercatat;1982
387;33;Jawa Tengah;2021;Kerbau;Pemotongan Tercatat;4781
388;34;DI Yogyakarta;2021;Kerbau;Pemotongan Tercatat;8
389;35;Jawa Timur;2021;Kerbau;Pemotongan Tercatat;250
390;36;Banten;2021;Kerbau;Pemotongan Tercatat;1396
391;51;Bali;2021;Kerbau;Pemotongan Tercatat;87
392;52;Nusa Tenggara Barat;2021;Kerbau;Pemotongan Tercatat;4434
393;53;Nusa Tenggara Timur;2021;Kerbau;Pemotongan Tercatat;4541
394;61;Kalimantan Barat;2021;Kerbau;Pemotongan Tercatat;216
395;62;Kalimantan Tengah;2021;Kerbau;Pemotongan Tercatat;178
396;63;Kalimantan Selatan;2021;Kerbau;Pemotongan Tercatat;1564
397;64;Kalimantan Timur;2021;Kerbau;Pemotongan Tercatat;297
398;65;Kalimantan Utara;2021;Kerbau;Pemotongan Tercatat;49
399;71;Sulawesi Utara;2021;Kerbau;Pemotongan Tercatat;0
400;72;Sulawesi Tengah;2021;Kerbau;Pemotongan Tercatat;84
401;73;Sulawesi Selatan;2021;Kerbau;Pemotongan Tercatat;7213
402;74;Sulawesi Tenggara;2021;Kerbau;Pemotongan Tercatat;127
403;75;Gorontalo;2021;Kerbau;Pemotongan Tercatat;0
404;76;Sulawesi Barat;2021;Kerbau;Pemotongan Tercatat;955
405;81;Maluku;2021;Kerbau;Pemotongan Tercatat;344
406;82;Maluku Utara;2021;Kerbau;Pemotongan Tercatat;0
407;92;Papua Barat;2021;Kerbau;Pemotongan Tercatat;0
408;91;Papua;2021;Kerbau;Pemotongan Tercatat;120
409;11;Aceh;2018;Kerbau;Pemotongan Tidak Tercatat;2044
410;12;Sumatera Utara;2018;Kerbau;Pemotongan Tidak Tercatat;2670
411;13;Sumatera Barat;2018;Kerbau;Pemotongan Tidak Tercatat;943
412;14;Riau;2018;Kerbau;Pemotongan Tidak Tercatat;1072
413;15;Jambi;2018;Kerbau;Pemotongan Tidak Tercatat;1731
414;16;Sumatera Selatan;2018;Kerbau;Pemotongan Tidak Tercatat;135
415;17;Bengkulu;2018;Kerbau;Pemotongan Tidak Tercatat;101
416;18;Lampung;2018;Kerbau;Pemotongan Tidak Tercatat;98
417;19;Kepulauan Bangka Belitung;2018;Kerbau;Pemotongan Tidak Tercatat;7
418;21;Kepulauan Riau;2018;Kerbau;Pemotongan Tidak Tercatat;0
419;31;DKI Jakarta;2018;Kerbau;Pemotongan Tidak Tercatat;7
420;32;Jawa Barat;2018;Kerbau;Pemotongan Tidak Tercatat;2984
421;33;Jawa Tengah;2018;Kerbau;Pemotongan Tidak Tercatat;1781
422;34;DI Yogyakarta;2018;Kerbau;Pemotongan Tidak Tercatat;24
423;35;Jawa Timur;2018;Kerbau;Pemotongan Tidak Tercatat;196
424;36;Banten;2018;Kerbau;Pemotongan Tidak Tercatat;16921
425;51;Bali;2018;Kerbau;Pemotongan Tidak Tercatat;0
426;52;Nusa Tenggara Barat;2018;Kerbau;Pemotongan Tidak Tercatat;957
427;53;Nusa Tenggara Timur;2018;Kerbau;Pemotongan Tidak Tercatat;1021
428;61;Kalimantan Barat;2018;Kerbau;Pemotongan Tidak Tercatat;0
429;62;Kalimantan Tengah;2018;Kerbau;Pemotongan Tidak Tercatat;226
430;63;Kalimantan Selatan;2018;Kerbau;Pemotongan Tidak Tercatat;0
431;64;Kalimantan Timur;2018;Kerbau;Pemotongan Tidak Tercatat;16
432;65;Kalimantan Utara;2018;Kerbau;Pemotongan Tidak Tercatat;2
433;71;Sulawesi Utara;2018;Kerbau;Pemotongan Tidak Tercatat;0
434;72;Sulawesi Tengah;2018;Kerbau;Pemotongan Tidak Tercatat;6
435;73;Sulawesi Selatan;2018;Kerbau;Pemotongan Tidak Tercatat;1487
436;74;Sulawesi Tenggara;2018;Kerbau;Pemotongan Tidak Tercatat;39
437;75;Gorontalo;2018;Kerbau;Pemotongan Tidak Tercatat;0
438;76;Sulawesi Barat;2018;Kerbau;Pemotongan Tidak Tercatat;62
439;81;Maluku;2018;Kerbau;Pemotongan Tidak Tercatat;24
440;82;Maluku Utara;2018;Kerbau;Pemotongan Tidak Tercatat;0
441;92;Papua Barat;2018;Kerbau;Pemotongan Tidak Tercatat;0
442;91;Papua;2018;Kerbau;Pemotongan Tidak Tercatat;11
443;11;Aceh;2019;Kerbau;Pemotongan Tidak Tercatat;1221
444;12;Sumatera Utara;2019;Kerbau;Pemotongan Tidak Tercatat;2642
445;13;Sumatera Barat;2019;Kerbau;Pemotongan Tidak Tercatat;915
446;14;Riau;2019;Kerbau;Pemotongan Tidak Tercatat;79
447;15;Jambi;2019;Kerbau;Pemotongan Tidak Tercatat;2618
448;16;Sumatera Selatan;2019;Kerbau;Pemotongan Tidak Tercatat;145
449;17;Bengkulu;2019;Kerbau;Pemotongan Tidak Tercatat;119
450;18;Lampung;2019;Kerbau;Pemotongan Tidak Tercatat;121
451;19;Kepulauan Bangka Belitung;2019;Kerbau;Pemotongan Tidak Tercatat;6
452;21;Kepulauan Riau;2019;Kerbau;Pemotongan Tidak Tercatat;0
453;31;DKI Jakarta;2019;Kerbau;Pemotongan Tidak Tercatat;12
454;32;Jawa Barat;2019;Kerbau;Pemotongan Tidak Tercatat;2174
455;33;Jawa Tengah;2019;Kerbau;Pemotongan Tidak Tercatat;2045
456;34;DI Yogyakarta;2019;Kerbau;Pemotongan Tidak Tercatat;0
457;35;Jawa Timur;2019;Kerbau;Pemotongan Tidak Tercatat;360
458;36;Banten;2019;Kerbau;Pemotongan Tidak Tercatat;1135
459;51;Bali;2019;Kerbau;Pemotongan Tidak Tercatat;7
460;52;Nusa Tenggara Barat;2019;Kerbau;Pemotongan Tidak Tercatat;1044
461;53;Nusa Tenggara Timur;2019;Kerbau;Pemotongan Tidak Tercatat;416
462;61;Kalimantan Barat;2019;Kerbau;Pemotongan Tidak Tercatat;0
463;62;Kalimantan Tengah;2019;Kerbau;Pemotongan Tidak Tercatat;235
464;63;Kalimantan Selatan;2019;Kerbau;Pemotongan Tidak Tercatat;0
465;64;Kalimantan Timur;2019;Kerbau;Pemotongan Tidak Tercatat;34
466;65;Kalimantan Utara;2019;Kerbau;Pemotongan Tidak Tercatat;2
467;71;Sulawesi Utara;2019;Kerbau;Pemotongan Tidak Tercatat;0
468;72;Sulawesi Tengah;2019;Kerbau;Pemotongan Tidak Tercatat;12
469;73;Sulawesi Selatan;2019;Kerbau;Pemotongan Tidak Tercatat;1822
470;74;Sulawesi Tenggara;2019;Kerbau;Pemotongan Tidak Tercatat;66
471;75;Gorontalo;2019;Kerbau;Pemotongan Tidak Tercatat;0
472;76;Sulawesi Barat;2019;Kerbau;Pemotongan Tidak Tercatat;64
473;81;Maluku;2019;Kerbau;Pemotongan Tidak Tercatat;23
474;82;Maluku Utara;2019;Kerbau;Pemotongan Tidak Tercatat;0
475;92;Papua Barat;2019;Kerbau;Pemotongan Tidak Tercatat;0
476;91;Papua;2019;Kerbau;Pemotongan Tidak Tercatat;12
477;11;Aceh;2020;Kerbau;Pemotongan Tidak Tercatat;1159
478;12;Sumatera Utara;2020;Kerbau;Pemotongan Tidak Tercatat;2010
479;13;Sumatera Barat;2020;Kerbau;Pemotongan Tidak Tercatat;724
480;14;Riau;2020;Kerbau;Pemotongan Tidak Tercatat;78
481;15;Jambi;2020;Kerbau;Pemotongan Tidak Tercatat;864
482;16;Sumatera Selatan;2020;Kerbau;Pemotongan Tidak Tercatat;187
483;17;Bengkulu;2020;Kerbau;Pemotongan Tidak Tercatat;878
484;18;Lampung;2020;Kerbau;Pemotongan Tidak Tercatat;69
485;19;Kepulauan Bangka Belitung;2020;Kerbau;Pemotongan Tidak Tercatat;4
486;21;Kepulauan Riau;2020;Kerbau;Pemotongan Tidak Tercatat;0
487;31;DKI Jakarta;2020;Kerbau;Pemotongan Tidak Tercatat;7
488;32;Jawa Barat;2020;Kerbau;Pemotongan Tidak Tercatat;1555
489;33;Jawa Tengah;2020;Kerbau;Pemotongan Tidak Tercatat;1660
490;34;DI Yogyakarta;2020;Kerbau;Pemotongan Tidak Tercatat;0
491;35;Jawa Timur;2020;Kerbau;Pemotongan Tidak Tercatat;296
492;36;Banten;2020;Kerbau;Pemotongan Tidak Tercatat;348
493;51;Bali;2020;Kerbau;Pemotongan Tidak Tercatat;6
494;52;Nusa Tenggara Barat;2020;Kerbau;Pemotongan Tidak Tercatat;538
495;53;Nusa Tenggara Timur;2020;Kerbau;Pemotongan Tidak Tercatat;0
496;61;Kalimantan Barat;2020;Kerbau;Pemotongan Tidak Tercatat;2
497;62;Kalimantan Tengah;2020;Kerbau;Pemotongan Tidak Tercatat;259
498;63;Kalimantan Selatan;2020;Kerbau;Pemotongan Tidak Tercatat;0
499;64;Kalimantan Timur;2020;Kerbau;Pemotongan Tidak Tercatat;28
500;65;Kalimantan Utara;2020;Kerbau;Pemotongan Tidak Tercatat;0
501;71;Sulawesi Utara;2020;Kerbau;Pemotongan Tidak Tercatat;0
502;72;Sulawesi Tengah;2020;Kerbau;Pemotongan Tidak Tercatat;5
503;73;Sulawesi Selatan;2020;Kerbau;Pemotongan Tidak Tercatat;1036
504;74;Sulawesi Tenggara;2020;Kerbau;Pemotongan Tidak Tercatat;16
505;75;Gorontalo;2020;Kerbau;Pemotongan Tidak Tercatat;0
506;76;Sulawesi Barat;2020;Kerbau;Pemotongan Tidak Tercatat;83
507;81;Maluku;2020;Kerbau;Pemotongan Tidak Tercatat;24
508;82;Maluku Utara;2020;Kerbau;Pemotongan Tidak Tercatat;0
509;92;Papua Barat;2020;Kerbau;Pemotongan Tidak Tercatat;0
510;91;Papua;2020;Kerbau;Pemotongan Tidak Tercatat;5
511;11;Aceh;2021;Kerbau;Pemotongan Tidak Tercatat;1320
512;12;Sumatera Utara;2021;Kerbau;Pemotongan Tidak Tercatat;2479
513;13;Sumatera Barat;2021;Kerbau;Pemotongan Tidak Tercatat;0
514;14;Riau;2021;Kerbau;Pemotongan Tidak Tercatat;0
515;15;Jambi;2021;Kerbau;Pemotongan Tidak Tercatat;636
516;16;Sumatera Selatan;2021;Kerbau;Pemotongan Tidak Tercatat;281
517;17;Bengkulu;2021;Kerbau;Pemotongan Tidak Tercatat;128
518;18;Lampung;2021;Kerbau;Pemotongan Tidak Tercatat;67
519;19;Kepulauan Bangka Belitung;2021;Kerbau;Pemotongan Tidak Tercatat;0
520;21;Kepulauan Riau;2021;Kerbau;Pemotongan Tidak Tercatat;0
521;31;DKI Jakarta;2021;Kerbau;Pemotongan Tidak Tercatat;4
522;32;Jawa Barat;2021;Kerbau;Pemotongan Tidak Tercatat;1300
523;33;Jawa Tengah;2021;Kerbau;Pemotongan Tidak Tercatat;977
524;34;DI Yogyakarta;2021;Kerbau;Pemotongan Tidak Tercatat;0
525;35;Jawa Timur;2021;Kerbau;Pemotongan Tidak Tercatat;62
526;36;Banten;2021;Kerbau;Pemotongan Tidak Tercatat;3658
527;51;Bali;2021;Kerbau;Pemotongan Tidak Tercatat;9
528;52;Nusa Tenggara Barat;2021;Kerbau;Pemotongan Tidak Tercatat;445
529;53;Nusa Tenggara Timur;2021;Kerbau;Pemotongan Tidak Tercatat;452
530;61;Kalimantan Barat;2021;Kerbau;Pemotongan Tidak Tercatat;21
531;62;Kalimantan Tengah;2021;Kerbau;Pemotongan Tidak Tercatat;207
532;63;Kalimantan Selatan;2021;Kerbau;Pemotongan Tidak Tercatat;0
533;64;Kalimantan Timur;2021;Kerbau;Pemotongan Tidak Tercatat;30
534;65;Kalimantan Utara;2021;Kerbau;Pemotongan Tidak Tercatat;3
535;71;Sulawesi Utara;2021;Kerbau;Pemotongan Tidak Tercatat;0
536;72;Sulawesi Tengah;2021;Kerbau;Pemotongan Tidak Tercatat;8
537;73;Sulawesi Selatan;2021;Kerbau;Pemotongan Tidak Tercatat;722
538;74;Sulawesi Tenggara;2021;Kerbau;Pemotongan Tidak Tercatat;12
539;75;Gorontalo;2021;Kerbau;Pemotongan Tidak Tercatat;0
540;76;Sulawesi Barat;2021;Kerbau;Pemotongan Tidak Tercatat;96
541;81;Maluku;2021;Kerbau;Pemotongan Tidak Tercatat;33
542;82;Maluku Utara;2021;Kerbau;Pemotongan Tidak Tercatat;0
543;92;Papua Barat;2021;Kerbau;Pemotongan Tidak Tercatat;0
544;91;Papua;2021;Kerbau;Pemotongan Tidak Tercatat;11
545;11;Aceh;2018;Kuda;Pemotongan Tercatat;0
546;12;Sumatera Utara;2018;Kuda;Pemotongan Tercatat;376
547;13;Sumatera Barat;2018;Kuda;Pemotongan Tercatat;41
548;14;Riau;2018;Kuda;Pemotongan Tercatat;0
549;15;Jambi;2018;Kuda;Pemotongan Tercatat;7
550;16;Sumatera Selatan;2018;Kuda;Pemotongan Tercatat;0
551;17;Bengkulu;2018;Kuda;Pemotongan Tercatat;0
552;18;Lampung;2018;Kuda;Pemotongan Tercatat;0
553;19;Kepulauan Bangka Belitung;2018;Kuda;Pemotongan Tercatat;0
554;21;Kepulauan Riau;2018;Kuda;Pemotongan Tercatat;0
555;31;DKI Jakarta;2018;Kuda;Pemotongan Tercatat;0
556;32;Jawa Barat;2018;Kuda;Pemotongan Tercatat;274
557;33;Jawa Tengah;2018;Kuda;Pemotongan Tercatat;13
558;34;DI Yogyakarta;2018;Kuda;Pemotongan Tercatat;510
559;35;Jawa Timur;2018;Kuda;Pemotongan Tercatat;0
560;36;Banten;2018;Kuda;Pemotongan Tercatat;0
561;51;Bali;2018;Kuda;Pemotongan Tercatat;0
562;52;Nusa Tenggara Barat;2018;Kuda;Pemotongan Tercatat;1143
563;53;Nusa Tenggara Timur;2018;Kuda;Pemotongan Tercatat;4165
564;61;Kalimantan Barat;2018;Kuda;Pemotongan Tercatat;0
565;62;Kalimantan Tengah;2018;Kuda;Pemotongan Tercatat;0
566;63;Kalimantan Selatan;2018;Kuda;Pemotongan Tercatat;7
567;64;Kalimantan Timur;2018;Kuda;Pemotongan Tercatat;0
568;65;Kalimantan Utara;2018;Kuda;Pemotongan Tercatat;6
569;71;Sulawesi Utara;2018;Kuda;Pemotongan Tercatat;0
570;72;Sulawesi Tengah;2018;Kuda;Pemotongan Tercatat;110
571;73;Sulawesi Selatan;2018;Kuda;Pemotongan Tercatat;8840
572;74;Sulawesi Tenggara;2018;Kuda;Pemotongan Tercatat;44
573;75;Gorontalo;2018;Kuda;Pemotongan Tercatat;0
574;76;Sulawesi Barat;2018;Kuda;Pemotongan Tercatat;0
575;81;Maluku;2018;Kuda;Pemotongan Tercatat;9
576;82;Maluku Utara;2018;Kuda;Pemotongan Tercatat;0
577;92;Papua Barat;2018;Kuda;Pemotongan Tercatat;0
578;91;Papua;2018;Kuda;Pemotongan Tercatat;94
579;11;Aceh;2019;Kuda;Pemotongan Tercatat;0
580;12;Sumatera Utara;2019;Kuda;Pemotongan Tercatat;247
581;13;Sumatera Barat;2019;Kuda;Pemotongan Tercatat;20
582;14;Riau;2019;Kuda;Pemotongan Tercatat;0
583;15;Jambi;2019;Kuda;Pemotongan Tercatat;0
584;16;Sumatera Selatan;2019;Kuda;Pemotongan Tercatat;0
585;17;Bengkulu;2019;Kuda;Pemotongan Tercatat;0
586;18;Lampung;2019;Kuda;Pemotongan Tercatat;0
587;19;Kepulauan Bangka Belitung;2019;Kuda;Pemotongan Tercatat;0
588;21;Kepulauan Riau;2019;Kuda;Pemotongan Tercatat;0
589;31;DKI Jakarta;2019;Kuda;Pemotongan Tercatat;0
590;32;Jawa Barat;2019;Kuda;Pemotongan Tercatat;24
591;33;Jawa Tengah;2019;Kuda;Pemotongan Tercatat;0
592;34;DI Yogyakarta;2019;Kuda;Pemotongan Tercatat;486
593;35;Jawa Timur;2019;Kuda;Pemotongan Tercatat;0
594;36;Banten;2019;Kuda;Pemotongan Tercatat;0
595;51;Bali;2019;Kuda;Pemotongan Tercatat;0
596;52;Nusa Tenggara Barat;2019;Kuda;Pemotongan Tercatat;592
597;53;Nusa Tenggara Timur;2019;Kuda;Pemotongan Tercatat;3021
598;61;Kalimantan Barat;2019;Kuda;Pemotongan Tercatat;0
599;62;Kalimantan Tengah;2019;Kuda;Pemotongan Tercatat;0
600;63;Kalimantan Selatan;2019;Kuda;Pemotongan Tercatat;14
601;64;Kalimantan Timur;2019;Kuda;Pemotongan Tercatat;0
602;65;Kalimantan Utara;2019;Kuda;Pemotongan Tercatat;2
603;71;Sulawesi Utara;2019;Kuda;Pemotongan Tercatat;0
604;72;Sulawesi Tengah;2019;Kuda;Pemotongan Tercatat;22
605;73;Sulawesi Selatan;2019;Kuda;Pemotongan Tercatat;6026
606;74;Sulawesi Tenggara;2019;Kuda;Pemotongan Tercatat;97
607;75;Gorontalo;2019;Kuda;Pemotongan Tercatat;0
608;76;Sulawesi Barat;2019;Kuda;Pemotongan Tercatat;0
609;81;Maluku;2019;Kuda;Pemotongan Tercatat;8
610;82;Maluku Utara;2019;Kuda;Pemotongan Tercatat;0
611;92;Papua Barat;2019;Kuda;Pemotongan Tercatat;0
612;91;Papua;2019;Kuda;Pemotongan Tercatat;103
613;11;Aceh;2020;Kuda;Pemotongan Tercatat;0
614;12;Sumatera Utara;2020;Kuda;Pemotongan Tercatat;279
615;13;Sumatera Barat;2020;Kuda;Pemotongan Tercatat;13
616;14;Riau;2020;Kuda;Pemotongan Tercatat;0
617;15;Jambi;2020;Kuda;Pemotongan Tercatat;24
618;16;Sumatera Selatan;2020;Kuda;Pemotongan Tercatat;2
619;17;Bengkulu;2020;Kuda;Pemotongan Tercatat;0
620;18;Lampung;2020;Kuda;Pemotongan Tercatat;0
621;19;Kepulauan Bangka Belitung;2020;Kuda;Pemotongan Tercatat;0
622;21;Kepulauan Riau;2020;Kuda;Pemotongan Tercatat;0
623;31;DKI Jakarta;2020;Kuda;Pemotongan Tercatat;0
624;32;Jawa Barat;2020;Kuda;Pemotongan Tercatat;14
625;33;Jawa Tengah;2020;Kuda;Pemotongan Tercatat;5
626;34;DI Yogyakarta;2020;Kuda;Pemotongan Tercatat;454
627;35;Jawa Timur;2020;Kuda;Pemotongan Tercatat;1
628;36;Banten;2020;Kuda;Pemotongan Tercatat;0
629;51;Bali;2020;Kuda;Pemotongan Tercatat;0
630;52;Nusa Tenggara Barat;2020;Kuda;Pemotongan Tercatat;837
631;53;Nusa Tenggara Timur;2020;Kuda;Pemotongan Tercatat;997
632;61;Kalimantan Barat;2020;Kuda;Pemotongan Tercatat;0
633;62;Kalimantan Tengah;2020;Kuda;Pemotongan Tercatat;0
634;63;Kalimantan Selatan;2020;Kuda;Pemotongan Tercatat;0
635;64;Kalimantan Timur;2020;Kuda;Pemotongan Tercatat;2
636;65;Kalimantan Utara;2020;Kuda;Pemotongan Tercatat;3
637;71;Sulawesi Utara;2020;Kuda;Pemotongan Tercatat;0
638;72;Sulawesi Tengah;2020;Kuda;Pemotongan Tercatat;103
639;73;Sulawesi Selatan;2020;Kuda;Pemotongan Tercatat;3406
640;74;Sulawesi Tenggara;2020;Kuda;Pemotongan Tercatat;54
641;75;Gorontalo;2020;Kuda;Pemotongan Tercatat;0
642;76;Sulawesi Barat;2020;Kuda;Pemotongan Tercatat;0
643;81;Maluku;2020;Kuda;Pemotongan Tercatat;13
644;82;Maluku Utara;2020;Kuda;Pemotongan Tercatat;0
645;92;Papua Barat;2020;Kuda;Pemotongan Tercatat;0
646;91;Papua;2020;Kuda;Pemotongan Tercatat;95
647;11;Aceh;2021;Kuda;Pemotongan Tercatat;0
648;12;Sumatera Utara;2021;Kuda;Pemotongan Tercatat;230
649;13;Sumatera Barat;2021;Kuda;Pemotongan Tercatat;16
650;14;Riau;2021;Kuda;Pemotongan Tercatat;0
651;15;Jambi;2021;Kuda;Pemotongan Tercatat;1
652;16;Sumatera Selatan;2021;Kuda;Pemotongan Tercatat;0
653;17;Bengkulu;2021;Kuda;Pemotongan Tercatat;0
654;18;Lampung;2021;Kuda;Pemotongan Tercatat;0
655;19;Kepulauan Bangka Belitung;2021;Kuda;Pemotongan Tercatat;1
656;21;Kepulauan Riau;2021;Kuda;Pemotongan Tercatat;0
657;31;DKI Jakarta;2021;Kuda;Pemotongan Tercatat;0
658;32;Jawa Barat;2021;Kuda;Pemotongan Tercatat;0
659;33;Jawa Tengah;2021;Kuda;Pemotongan Tercatat;6
660;34;DI Yogyakarta;2021;Kuda;Pemotongan Tercatat;493
661;35;Jawa Timur;2021;Kuda;Pemotongan Tercatat;82
662;36;Banten;2021;Kuda;Pemotongan Tercatat;0
663;51;Bali;2021;Kuda;Pemotongan Tercatat;0
664;52;Nusa Tenggara Barat;2021;Kuda;Pemotongan Tercatat;650
665;53;Nusa Tenggara Timur;2021;Kuda;Pemotongan Tercatat;1800
666;61;Kalimantan Barat;2021;Kuda;Pemotongan Tercatat;0
667;62;Kalimantan Tengah;2021;Kuda;Pemotongan Tercatat;0
668;63;Kalimantan Selatan;2021;Kuda;Pemotongan Tercatat;0
669;64;Kalimantan Timur;2021;Kuda;Pemotongan Tercatat;0
670;65;Kalimantan Utara;2021;Kuda;Pemotongan Tercatat;0
671;71;Sulawesi Utara;2021;Kuda;Pemotongan Tercatat;0
672;72;Sulawesi Tengah;2021;Kuda;Pemotongan Tercatat;6
673;73;Sulawesi Selatan;2021;Kuda;Pemotongan Tercatat;4552
674;74;Sulawesi Tenggara;2021;Kuda;Pemotongan Tercatat;105
675;75;Gorontalo;2021;Kuda;Pemotongan Tercatat;0
676;76;Sulawesi Barat;2021;Kuda;Pemotongan Tercatat;2
677;81;Maluku;2021;Kuda;Pemotongan Tercatat;17
678;82;Maluku Utara;2021;Kuda;Pemotongan Tercatat;0
679;92;Papua Barat;2021;Kuda;Pemotongan Tercatat;0
680;91;Papua;2021;Kuda;Pemotongan Tercatat;105
681;11;Aceh;2018;Kuda;Pemotongan Tidak Tercatat;0
682;12;Sumatera Utara;2018;Kuda;Pemotongan Tidak Tercatat;38
683;13;Sumatera Barat;2018;Kuda;Pemotongan Tidak Tercatat;4
684;14;Riau;2018;Kuda;Pemotongan Tidak Tercatat;0
685;15;Jambi;2018;Kuda;Pemotongan Tidak Tercatat;0
686;16;Sumatera Selatan;2018;Kuda;Pemotongan Tidak Tercatat;0
687;17;Bengkulu;2018;Kuda;Pemotongan Tidak Tercatat;0
688;18;Lampung;2018;Kuda;Pemotongan Tidak Tercatat;0
689;19;Kepulauan Bangka Belitung;2018;Kuda;Pemotongan Tidak Tercatat;0
690;21;Kepulauan Riau;2018;Kuda;Pemotongan Tidak Tercatat;0
691;31;DKI Jakarta;2018;Kuda;Pemotongan Tidak Tercatat;0
692;32;Jawa Barat;2018;Kuda;Pemotongan Tidak Tercatat;100
693;33;Jawa Tengah;2018;Kuda;Pemotongan Tidak Tercatat;0
694;34;DI Yogyakarta;2018;Kuda;Pemotongan Tidak Tercatat;55
695;35;Jawa Timur;2018;Kuda;Pemotongan Tidak Tercatat;85
696;36;Banten;2018;Kuda;Pemotongan Tidak Tercatat;0
697;51;Bali;2018;Kuda;Pemotongan Tidak Tercatat;0
698;52;Nusa Tenggara Barat;2018;Kuda;Pemotongan Tidak Tercatat;0
699;53;Nusa Tenggara Timur;2018;Kuda;Pemotongan Tidak Tercatat;419
700;61;Kalimantan Barat;2018;Kuda;Pemotongan Tidak Tercatat;0
701;62;Kalimantan Tengah;2018;Kuda;Pemotongan Tidak Tercatat;0
702;63;Kalimantan Selatan;2018;Kuda;Pemotongan Tidak Tercatat;0
703;64;Kalimantan Timur;2018;Kuda;Pemotongan Tidak Tercatat;0
704;65;Kalimantan Utara;2018;Kuda;Pemotongan Tidak Tercatat;1
705;71;Sulawesi Utara;2018;Kuda;Pemotongan Tidak Tercatat;0
706;72;Sulawesi Tengah;2018;Kuda;Pemotongan Tidak Tercatat;44
707;73;Sulawesi Selatan;2018;Kuda;Pemotongan Tidak Tercatat;884
708;74;Sulawesi Tenggara;2018;Kuda;Pemotongan Tidak Tercatat;10
709;75;Gorontalo;2018;Kuda;Pemotongan Tidak Tercatat;0
710;76;Sulawesi Barat;2018;Kuda;Pemotongan Tidak Tercatat;0
711;81;Maluku;2018;Kuda;Pemotongan Tidak Tercatat;1
712;82;Maluku Utara;2018;Kuda;Pemotongan Tidak Tercatat;0
713;92;Papua Barat;2018;Kuda;Pemotongan Tidak Tercatat;0
714;91;Papua;2018;Kuda;Pemotongan Tidak Tercatat;0
715;11;Aceh;2019;Kuda;Pemotongan Tidak Tercatat;0
716;12;Sumatera Utara;2019;Kuda;Pemotongan Tidak Tercatat;25
717;13;Sumatera Barat;2019;Kuda;Pemotongan Tidak Tercatat;2
718;14;Riau;2019;Kuda;Pemotongan Tidak Tercatat;0
719;15;Jambi;2019;Kuda;Pemotongan Tidak Tercatat;2
720;16;Sumatera Selatan;2019;Kuda;Pemotongan Tidak Tercatat;0
721;17;Bengkulu;2019;Kuda;Pemotongan Tidak Tercatat;0
722;18;Lampung;2019;Kuda;Pemotongan Tidak Tercatat;0
723;19;Kepulauan Bangka Belitung;2019;Kuda;Pemotongan Tidak Tercatat;0
724;21;Kepulauan Riau;2019;Kuda;Pemotongan Tidak Tercatat;0
725;31;DKI Jakarta;2019;Kuda;Pemotongan Tidak Tercatat;0
726;32;Jawa Barat;2019;Kuda;Pemotongan Tidak Tercatat;10
727;33;Jawa Tengah;2019;Kuda;Pemotongan Tidak Tercatat;0
728;34;DI Yogyakarta;2019;Kuda;Pemotongan Tidak Tercatat;52
729;35;Jawa Timur;2019;Kuda;Pemotongan Tidak Tercatat;164
730;36;Banten;2019;Kuda;Pemotongan Tidak Tercatat;0
731;51;Bali;2019;Kuda;Pemotongan Tidak Tercatat;0
732;52;Nusa Tenggara Barat;2019;Kuda;Pemotongan Tidak Tercatat;118
733;53;Nusa Tenggara Timur;2019;Kuda;Pemotongan Tidak Tercatat;152
734;61;Kalimantan Barat;2019;Kuda;Pemotongan Tidak Tercatat;0
735;62;Kalimantan Tengah;2019;Kuda;Pemotongan Tidak Tercatat;0
736;63;Kalimantan Selatan;2019;Kuda;Pemotongan Tidak Tercatat;0
737;64;Kalimantan Timur;2019;Kuda;Pemotongan Tidak Tercatat;0
738;65;Kalimantan Utara;2019;Kuda;Pemotongan Tidak Tercatat;0
739;71;Sulawesi Utara;2019;Kuda;Pemotongan Tidak Tercatat;0
