;;;;;;
No;"Kode Provinsi
Kemendagri";Provinsi;Tahun;Hewan;Jenis Pemotongan;Ekor
89;62;Kalimantan Tengah;2020;Sapi;Pemotongan Tercatat;18421
90;63;Kalimantan Selatan;2020;Sapi;Pemotongan Tercatat;27606
91;64;Kalimantan Timur;2020;Sapi;Pemotongan Tercatat;48051
92;65;Kalimantan Utara;2020;Sapi;Pemotongan Tercatat;3802
93;71;Sulawesi Utara;2020;Sapi;Pemotongan Tercatat;16363
94;72;Sulawesi Tengah;2020;Sapi;Pemotongan Tercatat;26275
95;73;Sulawesi Selatan;2020;Sapi;Pemotongan Tercatat;76499
96;74;Sulawesi Tenggara;2020;Sapi;Pemotongan Tercatat;23146
97;75;Gorontalo;2020;Sapi;Pemotongan Tercatat;14471
98;76;Sulawesi Barat;2020;Sapi;Pemotongan Tercatat;10287
99;81;Maluku;2020;Sapi;Pemotongan Tercatat;13949
100;82;Maluku Utara;2020;Sapi;Pemotongan Tercatat;5161
101;92;Papua Barat;2020;Sapi;Pemotongan Tercatat;8874
102;91;Papua;2020;Sapi;Pemotongan Tercatat;17521
103;11;Aceh;2021;Sapi;Pemotongan Tercatat;60212
104;12;Sumatera Utara;2021;Sapi;Pemotongan Tercatat;59603
105;13;Sumatera Barat;2021;Sapi;Pemotongan Tercatat;93203
106;14;Riau;2021;Sapi;Pemotongan Tercatat;61383
107;15;Jambi;2021;Sapi;Pemotongan Tercatat;24159
108;16;Sumatera Selatan;2021;Sapi;Pemotongan Tercatat;58831
109;17;Bengkulu;2021;Sapi;Pemotongan Tercatat;17626
110;18;Lampung;2021;Sapi;Pemotongan Tercatat;78387
111;19;Kepulauan Bangka Belitung;2021;Sapi;Pemotongan Tercatat;14079
112;21;Kepulauan Riau;2021;Sapi;Pemotongan Tercatat;5458
113;31;DKI Jakarta;2021;Sapi;Pemotongan Tercatat;53623
114;32;Jawa Barat;2021;Sapi;Pemotongan Tercatat;272366
115;33;Jawa Tengah;2021;Sapi;Pemotongan Tercatat;247192
